293	293	1	1
294	294	171	156
295	295	3	3
296	296	15	9
297	297	6	6
298	298	383	294
299	299	3	3
300	300	555	446
301	301	19	17
302	302	169	100
303	303	8	8
304	304	128	95
305	305	75	68
306	306	75	42
307	307	907	494
308	308	750	236
309	309	151	138
310	310	20	19
311	311	130	114
312	312	219	173
313	313	1	1
314	314	12	12
315	315	22	15
316	316	941	681
317	317	427	335
318	318	143	122
319	319	20	4
320	320	1	1
321	321	4	3
322	322	159	104
323	323	213	173
324	324	186	111
325	325	163	145
326	326	1	1
327	327	186	96
328	328	106	48
329	329	565	386
330	330	144	102
331	331	244	195
332	332	256	206
333	333	156	98
334	334	501	401
335	335	614	469
336	336	210	172
337	337	5	4
338	338	3	3
339	339	6	6
340	340	4	3
341	341	4	4
342	342	254	150
343	343	1	1
344	344	1	1
345	345	346	132
346	346	37	32
347	347	52	45
348	348	471	251
349	349	1	1
350	350	4	1
351	351	406	276
352	352	278	202
353	353	24	18
354	354	56	48
355	355	186	125
356	356	3	3
357	357	934	696
358	358	574	426
359	359	28	27
360	360	517	430
361	361	306	259
362	362	49	40
363	363	146	116
364	364	920	606
365	365	249	204
366	366	1043	625
367	367	124	85
368	368	664	316
369	369	344	248
370	370	65	48
371	371	90	51
372	372	25	24
373	373	7	6
374	374	430	350
375	375	664	350
376	376	65	45
377	377	37	35
378	378	25	23
379	379	338	268
380	380	340	266
381	381	59	48
382	382	80	68
383	383	155	116
384	384	135	118
385	385	186	149
386	386	50	43
387	387	220	82
388	388	10	7
389	389	23	23
390	390	32	29
391	391	56	51
392	392	929	619
393	393	25	17
394	394	834	574
395	395	173	132
396	396	51	50
397	397	1100	679
398	398	1220	723
399	399	4	4
400	400	103	64
401	401	1	1
402	402	572	362
403	403	498	299
404	404	5	5
405	405	41	38
406	406	135	124
407	407	485	319
408	408	83	72
409	409	245	192
410	410	16	5
411	411	21	7
412	412	124	82
413	413	13	10
414	414	1	1
415	415	12	1
416	416	219	167
417	417	3	3
418	418	61	43
419	419	360	161
420	420	43	38
421	421	206	110
422	422	2	1
